LZ,time,user_name,response
 ,2017-11-05,ZYLIF,\/\/@吴亦凡吧-KrisBar: #吴亦凡1106生日快乐# #吴亦凡# 好赞@Mr_凡先生\/\/@吴亦凡微吧:#吴亦凡# #吴亦凡1106生日快乐# 爱奇艺VIP会员与@春秋航空 的联合包机起飞啦！吴亦凡生日专机带你去深圳看吴亦凡@Mr_凡先生 生日会！
 ,2017-11-05,Sue-乐事,这台飞机上的妮妮曼曼很幸福了
 ,2017-11-05,肥肉肉啊,酷
 ,2017-11-05,MeiGeni_玲,666
 ,2017-11-05,中了尘妹儿的毒,转发微博
 ,2017-11-05,_Withnana,哇！酷的！
 ,2017-11-05,爱吃秋刀鱼的喵星人,老爱就是6
 ,2017-11-05,浪荡又野-,看不了直播  难受
 ,2017-11-05,Ooh_ooooooo,坐等直播
 ,2017-11-05,Ma_S_ter,666
 ,2017-11-05,Judy-Galaxy,6666
 ,2017-11-05,July尛果汁兒,
 ,2017-11-05,用户6013834076,直播不收费，爱奇亿有心了
 ,2017-11-05,宝宝小可爱哈,#吴亦凡#
 ,2017-11-05,起司奶香凡,wc！酷！
 ,2017-11-05,乙末末末末,太酷了吧
 ,2017-11-05,娴煎蛋,回复@娴煎蛋:
 ,2017-11-05,娴煎蛋,#吴亦凡1106生日快乐# #首席会员非凡体验官# 吴亦凡，生日快乐。今晚，爱奇艺VIP约亦起咯，燥燥燥。
 ,2017-11-05,吴亦凡笑起来很好看,6666  
 ,2017-11-05,七月喝果汁很66666,66666今晚守住直播啦！
 ,2017-11-05,Mr_Dling,#吴亦凡1106生日快乐# 太给力了
 ,2017-11-05,亦寻亦凡,6了6了，去深圳看凡凡啦
 ,2017-11-05,一个只想看八卦的女子,666
 ,2017-11-05,妮称不好取,“颜值不高不能扫”
 ,2017-11-05,KRIS_Hedgehog1106,哇哦！妮妮们好幸福啊！爱奇艺VIP给力#吴亦凡1106生日快乐# #吴亦凡#
 ,2017-11-05,yy爱喝酸奶,厉害了！爱奇艺包机！爱奇艺给力啊
 ,2017-11-05,努力啦啦立,在来一个包酒店就更完美了！妮可以聚一起！团体名每个你团！
 ,2017-11-05,吴木尘,66666了
 ,2017-11-05,YvonneLim_328,#吴亦凡1106生日快乐# #吴亦凡#  今晚！今晚！！就在今晚！！！属于@Mr_凡先生的夜晚让我们一起燃爆
 ,2017-11-05,SFC凡凡家的冷姑娘,也是没谁了
 ,2017-11-05,L_suet,@焦糖说的盛夏
 ,2017-11-05,失控傻乎乎,666
 ,2017-11-05,知书木梓,国际凡
 ,2017-11-05,知书木梓,6666 果然国际范
 ,2017-11-05,Mr_天生唯凡,666
 ,2017-11-05,tina萧萧水寒,666
 ,2017-11-05,可可牛奶加点糖Oo0,\/\/@吴亦凡吧-KrisBar: #吴亦凡1106生日快乐# #吴亦凡# 好赞@Mr_凡先生\/\/@吴亦凡微吧:#吴亦凡# #吴亦凡1106生日快乐# 爱奇艺VIP会员与@春秋航空 的联合包机起飞啦！吴亦凡生日专机带你去深圳看吴亦凡@Mr_凡先生 生日会！
 ,2017-11-05,最爱香菜鱼,6666
 ,2017-11-05,等风等你来oo,gogogo
 ,2017-11-05,专宠吴女儿的吴先生,转发微博
 ,2017-11-05,AyRsing,爱奇艺包机哇
 ,2017-11-05,winner-vv-min,我也是爱奇艺VIP会员，我怎么没有呢？我只要门票不要机票，呜呜！
 ,2017-11-05,柯晓燕Amyke,#吴亦凡# #吴亦凡1106生日快乐# 爱奇艺VIP会员与@春秋航空 的联合包机起飞啦！吴亦凡生日专机带你去深圳看吴亦凡@Mr_凡先生 生日会！
 ,2017-11-05,El-VI,#吴亦凡1106生日快乐# 谢谢爱奇艺对凡凡的鼎力支持，我也是爱奇艺VIP会员呢
 ,2017-11-05,不耍流氓的兔子,#吴亦凡1106生日快乐#    #吴亦凡# 哈哈哈哈走起
 ,2017-11-05,鲵大爷_Luo,说好的今天不上微博的
 ,2017-11-05,夏有芒果冬有莫,好可爱哦 最后一张
 ,2017-11-05,X_smoothly,#吴亦凡1106生日快乐# #首席会员非凡体验官#
 ,2017-11-05,lingluoling,666
 ,2017-11-05,夏有芒果冬有莫,酷啦
 ,2017-11-05,瑞IOU,#吴亦凡1106生日快乐#  #吴亦凡# 好棒ｂ(￣▽￣)ｄ
 ,2017-11-05,李朝霞-Lee,real酷！！！
 ,2017-11-05,平凡之路的不凡之恋,#吴亦凡# #吴亦凡1106生日快乐# 爱奇艺霸气啊，可是为什么没有抽中我啊@Mr_凡先生
 ,2017-11-05,HelloActorWu-Vietnam,#吴亦凡1106生日快乐# #吴亦凡#\/\/@吴亦凡吧-KrisBar: #吴亦凡1106生日快乐# #吴亦凡# 好赞@Mr_凡先生\/\/@吴亦凡微吧:#吴亦凡# #吴亦凡1106生日快乐# 爱奇艺VIP会员与@春秋航空 的联合包机起飞啦！吴亦凡生日专机带你去深圳看吴亦凡@Mr_凡先生 生日会！
 ,2017-11-05,错过年少的你,好酷
 ,2017-11-05,三生石边的烟雨霏霏,太棒啦
 ,2017-11-05,小煎蛋小二货,这也太酷了吧
 ,2017-11-05,Loyalty_K,我现在买票还来得及吗#吴亦凡1106生日快乐#
 ,2017-11-05,庚家凡凡爱兰兰,#吴亦凡# #吴亦凡1106生日快乐#  我去了！！！！！是有多幸福啊！！！！
 ,2017-11-05,LC李_fanfan,坐这般飞机的鲵，你们的生日会提前起启动了
 ,2017-11-05,依旧孩子梦1106,#吴亦凡1106生日快乐# #吴亦凡deserve# 好厉害
 ,2017-11-05,月球上pal,#吴亦凡1106生日快乐# 期待今晚
 ,2017-11-05,As_Fanbaby,太棒了吧
 ,2017-11-05,别跑咯,最后张好可爱
 ,2017-11-05,薰衣草的约定007,#吴亦凡#  #吴亦凡1106生日快乐#  \/\/@吴亦凡微吧: #吴亦凡# #吴亦凡1106生日快乐# 爱奇艺VIP会员与@春秋航空 的联合包机起飞啦！吴亦凡生日专机带你去深圳看吴亦凡@Mr_凡先生 生日会！
 ,2017-11-05,鲨鱼001的妮,#吴亦凡1106生日快乐# #吴亦凡deserve# #吴亦凡带你上天# #吴亦凡非凡计划# 
 ,2017-11-05,突然不想吃泡面了,#吴亦凡代言爱奇艺vip# #吴亦凡1106生日快乐# #吴亦凡# @Mr_凡先生
 ,2017-11-05,突然不想吃泡面了,#吴亦凡代言爱奇艺vip# #吴亦凡1106生日快乐# 
 ,2017-11-05,梦里花落谁与采撷,#吴亦凡# #吴亦凡1106生日快乐# 憧憬着未来的某一天，有一架吴亦凡号飞机，专属于凡凡和每个你的飞机，那么每次出行只坐这架飞机，多好……我相信这个愿望不是梦@Mr_凡先生
 ,2017-11-05,FearlessFF,转发微博
 ,2017-11-05,凡先生的天使妮妮,#吴亦凡1106生日快乐# #吴亦凡# 包机看凡凡生日会咯@Mr_凡先生
 ,2017-11-05,可以为哥哥变超凶der甜甜空,啊啊啊啊啊啊啊啊啊啊啊太可爱了！金闪闪你会送行李牌吗？
 ,2017-11-05,Everyone每个你,霸霸们真是给力
